В какой день недели вам удобно?~~~~Вечеринку было бы удобно провести в пятницу~~~~Вам удобно в пятницу?~~~~Удобно в любое время|「いつ」「なんようび」「なんじ」~~・なんようびが いいですか。 ~~~~パーティーは どようびが いいです。 ~~~~・きんようびは どうですか。 ~~~~・いつでも いいです。
Чтоб сказать подходящем/удобном дне, употребляют...|「（время）＋が＋いいです」.~~きんようびが いいです。
Работаю (на протяжении) 7 часов.~~Сколько часов занимаетесь теннисом?|７じかん しごとを します。 ~~~~なんじかん テニスを しますか。
Со скольки?|・いつからですか。
・げつようびから きんようびまで かいしゃに いきます。|Хожу на фирму (работаю) с понедельника по пятницу.
さんぽをします~~さんぽします~~テニスを します|прогуливаться~~~~заниматься теннисом
「あさ」,「ひる」, 「よる」|вместо 「ごぜん」 употребляют 「あさ」,~~после полудня – 「ひる」, темное время суток – 「よる」.
ひるも よるも|«весь день, и днем и~~ночью»
Время от восхода до~~заката солнца называют ... (день), от заката до восхода ... (вечер, ночь).|Время от восхода до~~заката солнца называют 「ひる」 (день),~~~~ от заката до восхода 「よる」 (вечер, ночь).
まひる|12 часов дня
ごぜんのれいじ|12 часов ночи
ごぜん~~ごご|промежуток с полночи (よなか) ~~до полудня (まひる) ~~называют ごぜん~~~~ごご вторая половина дня
3:05~~6:10 ~~ 3:06 ~~10 минут|3:05 – 「さんじ ごふん」, ~~6:10 – 「ろくじ じゅっぷん」, ~~3:06 「さんじろっぷん」. ~~Для 10 минут есть выражения ~~「じっぷん」 и ~~「じゅっぷん」.
８じごろ ばんごはんを たべます。|Я ужинаю приблизительно в 8 часов.
４：００~~７：００~~９：００~~・（ごぜん） ９じです。|４：００ よじ~~７：００ しちじ~~９：００ くじ~~（ごぜん） ９じです。9 часов (утра).
せいかつ|Жизнь
Принято сидеть на коленях, но~~если вам очень неудобно, можно спросить ... ~~(можно сменить позу?), и сесть так, как вам~~удобно|「あしをくずしてもいいですか。」
いま|общая комната, гостиная~~=「リビングルーム」.~~~~「こちらへどうぞ。」
Перед тем, как зайти в дом, принято говорить...~~~~Хозяин отвечает: ...~~~~и гости, сказав ... проходят в дом.|принято говорить 「ごめんください。」(«извините»). Хозяин отвечает:~~「いらっしゃい。どうぞ、あがってください。」(«добро пожаловать, проходите»), и гости, сказав 「おじゃまします。」(букв. «я~~прричиняю Вам беспокойство»), проходят в дом.
げんかん|прихожая
ほんのきもちですが…|Если вас позвали в гости к японцу, стоить взять с собой небольшой подарок – не что-либо дорогостоящее, а, к~~примеру, сладости, фрукты или цветы. Когда вручают подарок, часто говорят ~~「ほんのきもちですが…」.
「こちら/ そちら/ あちら/ どちら|「こちら/ そちら/ あちら/ どちら」 употребляют, как вежливые~~эквиваленты 「ここ/ そこ/ あそこ/ どこ」. Если добавить к ним частицы 「に」 или 「へ」, они будут выражать направление
- Где туалет?~~- Возле ванной.~~~~Куда (положить) куклу? － На полку, пожалуйста.|・トイレは どこですか。~~・・・おふろの よこです。 ~~~~ にんぎょうは どこですか。 ― （にんぎょうは） たなの うえに おねがいします。
ほんは つくえの うえに あります。~~つくえの うえに ほんが あります。 ~~~~вопрос|о неодушевлённых предметах употребляется вопросительное местоимение なに, в вопросе об одушевлённых~~существах – だれ
верх、низ、перед、сзади、право、лево、внутри、снаружи、по соседству|うえ(верх)、した(низ)、まえ(перед)、うしろ(сзади)、みぎ(право)、ひだり(лево)、なか(внутри)、そと(снаружи)、となり (по соседству)
～です・ ~~～に あります|・ほんは つくえの うえです。 ~~Книга – на столе.~~・ほんは つくえの うえに あります。~~Книга находится на столе.~~~~・いぬは いすの したに います。~~Собака находится под стулом
にんぎょうは たなの うえです。|Кукла на полке.
